title,subtitle,author,other_authors,publisher,fiction,genre,keywords,page_count,original_copyright_year,latest_listed_year,read_by_adam,read_by_wife,all_time_fave,hardcover,notes
Dark Money,The Hidden History of the Billionaires Behind the Rise of the Radical Right,Jane Mayer,,Anchor,0,Social Science/Journalism,"Billionaires, Plutocracy, Right-wing politics, American politics ",547,2016,2017,0,0,0,0,
Dataclysm,"Love, Sex, Race, and Identity - What Our Online Lives Tell Us About Our Offline Selves",Christian Rudder,,Broadway,0,Social Science,"OK Cupid, Dating, Love, Sex, Race, Data, Human Behavior",319,2014,,2,0,0,0,
Death in Venice,And Seven Other Stories,Thomas Mann,H. T. Lowe-Porter,Vintage,1,Literature,,402,1989,,0,0,0,0,
Debt,"The First 5,000 Years",David Graeber,,Melville House,0,Social Science,"Money, Debt, Economic history, Inequality, Anthropology",531,2011,,1,0,0,0,"Gift from Tucker, cover corner bitten off by dog"
Defending Science Within Reason,Between Scientism and Cynicism,Susan Haack,,Prometheus,0,Philosophy,Philosophy of Science,411,2003,2007,0,0,0,0,
Dining In,,Alison Roman,,Potter,0,Cook Book,Recipes,303,2017,,1,1,0,1,
Dr. No,A Novel,Percival Everett,,Graywolf,1,Literature,"Satire, Bond villain, Nothingness, Providence, Mathematicians",262,2022,,2,0,0,0,
Draw Faces in 15 Minutes,,Jake Spicer,,St. Martin's Griffin,0,Art Instruction,"Drawing, Portraits, Drawing technique",128,2015,,2,0,0,0,
Drawing the Dead and Hands,,Andrew Loomis,,Titan,0,Art Instruction,"Drawing, Loomis method",154,1943,,0,0,0,0,Stored in slipcase
Economics for Everyone,A Short Guide to the Economics of Capitalism,Jim Stanford,,Pluto,0,Social Science,"Textbook, Capitalism, Economics",417,2008,2015,0,0,0,0,
Edge of the Empire Core Rulebook,,Jay Little,"Sam Stewart, Andrew Fischer, Tim Flanders",Fantasy Flight,1,Roleplaying Games,"Star Wars, RPG, ",442,2013,,0,0,0,1,
